Theta,Power,Theta,Power,Theta,Power,Theta,Power,Theta,Power
theta,W,theta,W,theta,W,theta,W,theta,W
,1960mA,,1960mA,,1960mA,,1960mA,,1960mA
0.5277,0.684,0.537,0.683,0.6553,0.682,0.7986,0.682,0.4136,0.685
1.2737,0.683,1.255,0.681,1.396,0.68,1.1763,0.681,1.4727,0.684
2.2994,0.681,2.4046,0.68,2.474,0.679,2.703,0.679,1.998,0.682
3.645,0.677,4.4685,0.674,3.8367,0.676,3.5163,0.676,4.038,0.68
5.3583,0.672,6.122,0.668,6.369,0.667,6.1636,0.67,5.744,0.671
7.2743,0.663,7.842,0.664,8.242,0.664,7.9244,0.663,7.51,0.667
9.2043,0.654,10.536,0.655,9.9623,0.65,9.8555,0.654,9.316,0.658
12.1424,0.643,12.2856,0.645,11.7683,0.644,11.9267,0.643,11.8913,0.648
13.172,0.637,14.309,0.632,14.3506,0.626,13.9344,0.631,13.643,0.636
15.711,0.623,16.151,0.619,16.166,0.618,16.162,0.617,15.47,0.623
17.389,0.609,17.9226,0.604,18.009,0.604,17.9893,0.602,18.111,0.608
19.1614,0.593,19.6276,0.588,19.8417,0.588,19.919,0.586,19.8725,0.592
21.7723,0.575,22.3057,0.57,21.69,0.561,21.9307,0.569,21.6395,0.574
22.677,0.557,24.148,0.551,23.559,0.552,23.62,0.55,23.3023,0.556
24.685,0.538,25.984,0.532,26.349,0.522,25.278,0.531,25.8663,0.537
27.418,0.518,27.8745,0.512,28.1797,0.512,28.0177,0.51,26.7665,0.516
29.1903,0.497,30.448,0.491,30.0176,0.48,30.039,0.489,29.6404,0.495
30.8943,0.475,31.3543,0.469,31.764,0.469,31.8716,0.467,31.4553,0.474
32.8244,0.453,34.2204,0.446,34.345,0.435,33.679,0.444,33.243,0.451
35.511,0.43,35.967,0.423,36.013,0.424,35.5566,0.421,34.9956,0.428
37.519,0.406,37.651,0.399,37.846,0.388,37.641,0.398,37.6305,0.404
39.192,0.382,39.5407,0.375,39.7246,0.376,39.417,0.374,39.4433,0.38
41.8385,0.358,42.1865,0.351,42.336,0.352,41.107,0.35,41.306,0.356
43.666,0.334,43.952,0.327,44.0863,0.328,43.764,0.326,43.8556,0.332
45.385,0.31,45.626,0.304,45.9393,0.304,45.7606,0.302,45.6835,0.308
47.987,0.286,47.3255,0.28,47.7667,0.281,47.6584,0.279,47.479,0.284
49.698,0.263,50.03,0.257,49.604,0.258,49.3795,0.255,49.225,0.261
51.422,0.239,51.7284,0.233,51.453,0.234,51.1205,0.232,50.982,0.238
53.1214,0.217,53.432,0.211,53.3266,0.212,52.8906,0.221,53.6116,0.215
54.9894,0.195,55.2197,0.189,55.9115,0.19,55.7385,0.188,55.374,0.193
57.667,0.173,58.042,0.168,57.6717,0.169,56.6533,0.177,57.2117,0.172
59.51,0.153,59.8627,0.148,59.495,0.149,59.3517,0.157,58.999,0.152
61.328,0.134,61.681,0.129,61.4094,0.13,61.1937,0.137,61.619,0.132
63.1956,0.115,63.492,0.111,63.928,0.112,62.321,0.119,63.5337,0.114
64.9225,0.098,65.299,0.094,65.673,0.095,64.3985,0.101,65.3335,0.097
67.501,0.082,67.0703,0.078,67.5725,0.079,66.9635,0.085,68.033,0.081
